symbol,company,sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,IT
INFY.NS,Infosys,IT
HDFCBANK.NS,HDFC Bank,Banking
ICICIBANK.NS,ICICI Bank,Banking
KOTAKBANK.NS,Kotak Mahindra Bank,Banking
SBIN.NS,State Bank of India,Banking
AXISBANK.NS,Axis Bank,Banking
INDUSINDBK.NS,IndusInd Bank,Banking
BANKBARODA.NS,Bank of Baroda,Banking
CANBK.NS,Canara Bank,Banking
PNB.NS,Punjab National Bank,Banking
UNIONBANK.NS,Union Bank of India,Banking
IDFCFIRSTB.NS,IDFC First Bank,Banking
FEDERALBNK.NS,Federal Bank,Banking
YESBANK.NS,Yes Bank,Banking
RBLBANK.NS,RBL Bank,Banking
KARURVYSYA.NS,Karur Vysya Bank,Banking
LT.NS,Larsen & Toubro,Capital Goods
BHEL.NS,BHEL,Capital Goods
SIEMENS.NS,Siemens,Capital Goods
ABB.NS,ABB India,Capital Goods
CUMMINSIND.NS,Cummins India,Capital Goods
HAVELLS.NS,Havells India,Capital Goods
VOLTAS.NS,Voltas,Capital Goods
THERMAX.NS,Thermax,Capital Goods
BHARAT-ELEC.NS,Bharat Electronics,Capital Goods
ULTRACEMCO.NS,UltraTech Cement,Cement
SHREECEM.NS,Shree Cement,Cement
AMBUJACEM.NS,Ambuja Cements,Cement
ACC.NS,ACC,Cement
GRASIM.NS,Grasim Industries,Cement
DALMIACEM.NS,Dalmia Bharat,Cement
RAMCOCEM.NS,Ramco Cements,Cement
JKCEMENT.NS,JK Cement,Cement
WIPRO.NS,Wipro,IT
HCLTECH.NS,HCL Technologies,IT
TECHM.NS,Tech Mahindra,IT
LTIM.NS,LTIMindtree,IT
MPHASIS.NS,Mphasis,IT
PERSISTENT.NS,Persistent Systems,IT
COFORGE.NS,Coforge,IT
TATAELXSI.NS,Tata Elxsi,IT
OFSS.NS,Oracle Financial Services,IT
KPITTECH.NS,KPIT Technologies,IT
TANLA.NS,Tanla Platforms,IT
BSOFT.NS,Birlasoft,IT
ZENSAR.NS,Zensar Technologies,IT
TITANCOMPANY.NS,Titan Company,Consumer
TRENT.NS,Trent,Consumer
NYKAA.NS,Nykaa,Consumer
JUBLFOOD.NS,Jubilant FoodWorks,Consumer
MCDOWELL-N.NS,United Spirits,Consumer
PAGEIND.NS,Page Industries,Consumer
VGUARD.NS,V-Guard Industries,Consumer
ITC.NS,ITC Ltd,FMCG
HINDUNILVR.NS,Hindustan Unilever,FMCG
NESTLEIND.NS,Nestle India,FMCG
BRITANNIA.NS,Britannia Industries,FMCG
COLPAL.NS,Colgate-Palmolive,FMCG
DABUR.NS,Dabur India,FMCG
MARICO.NS,Marico,FMCG
GODREJCP.NS,Godrej Consumer Products,FMCG
